item_id,profit
52230,-1.0
52231,-2200000.0
52232,-1.0
52233,-1.0
52234,-1.0
52235,-3.0
52236,-81900000.0
52237,-1.0
52238,-136200000.0
52239,-1.0
52240,-146300000.0
52241,-1.0
52242,-2571000000.0
52243,-1.0
52244,-603700000.0
52245,-1.0
52246,-3.0
52247,-1.0
52248,-1.0
52249,-1.0
52250,-8100000.0
52251,-1.0
52252,-36800000.0
52253,-1.0
52254,-15200000.0
52255,-1.0
52256,-3.0
52257,-3.0
52258,-3.0
52259,-3.0
